Timestamp,No,Age,Gender,Experience,Degree,Major,FM_1,FM_2,GM_1,FM_3,GM_2,FM_4,GM_3,GM_4,FM_5,FM_6,GM_5,FM_7,GM_6,FM_8,GM_7,GM_8,SA_1,SA_2,SA_3,SA_4,SA_5,SA_6,DA_1,DA_2,DA_3,DA_4,ENFE_1,ENFE_2,ENFE_3,TI_1,TI_2,TI_3,TI_4
2023/10/21 9:39:20 PM GMT+3:30,1,24,1,2,1,1,1,6,5,2,5,4,3,3,3,4,5,4,5,3,4,4,4,3,5,2,3,3,4,1,3,3,3,3,3,4,2,4,4
2023/10/21 9:51:07 PM GMT+3:30,2,26,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,6,4,5,5
2023/10/21 9:55:14 PM GMT+3:30,3,32,2,1,2,1,2,2,5,2,2,2,3,5,2,2,5,2,2,2,2,5,3,2,2,1,2,3,3,3,4,4,4,4,4,5,5,4,5
2023/10/22 12:00:17 AM GMT+3:30,4,23,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
2023/10/22 12:55:28 AM GMT+3:30,5,25,1,2,1,1,5,5,2,5,2,5,4,2,5,5,2,5,2,5,4,2,2,4,2,2,2,3,2,2,2,2,4,4,4,7,7,7,7
2023/10/22 6:34:40 AM GMT+3:30,6,27,1,3,1,1,5,5,2,5,2,5,4,2,5,5,2,5,2,5,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,7,7,7,7
2023/10/22 11:46:00 PM GMT+3:30,7,27,2,5,2,1,4,2,5,3,5,3,4,3,4,4,3,4,3,4,4,3,3,3,2,2,2,3,4,4,4,4,3,4,3,1,1,2,2
2023/10/23 1:18:39 PM GMT+3:30,8,29,1,4,1,1,1,1,5,3,4,3,3,3,4,2,5,3,4,2,4,4,3,4,2,2,1,3,4,4,5,4,3,2,3,2,2,2,3
2023/10/23 4:56:20 PM GMT+3:30,9,32,1,1,2,3,1,1,6,1,5,2,5,5,1,2,5,1,5,2,5,5,2,2,2,2,2,3,4,4,4,4,4,4,4,2,2,2,4
2023/10/23 7:58:41 PM GMT+3:30,10,29,2,5,2,1,5,5,2,6,1,6,2,2,6,6,2,6,2,6,2,2,3,1,2,3,2,4,4,4,4,4,5,4,4,2,3,1,6
2023/10/24 9:09:23 PM GMT+3:30,11,24,1,4,1,1,5,5,1,5,2,6,1,1,5,5,2,5,2,5,2,2,5,2,1,1,1,1,1,1,3,3,4,5,5,6,6,5,7
2023/10/24 11:04:52 PM GMT+3:30,12,24,1,2,1,1,2,2,5,2,5,5,5,5,2,2,5,2,5,2,5,5,3,3,2,2,3,2,3,4,4,3,4,4,4,5,6,4,6
2023/10/25 9:17:55 AM GMT+3:30,13,31,1,1,2,1,2,2,5,1,5,2,5,4,3,2,5,2,4,2,5,4,4,3,3,4,4,4,3,4,4,3,4,4,4,5,5,4,6
2023/10/26 9:22:25 AM GMT+3:30,14,26,1,1,1,1,5,4,4,4,4,3,4,4,3,3,5,3,5,2,4,4,1,2,1,1,2,1,4,4,4,3,3,3,5,5,5,4,4
2023/10/26 9:28:41 AM GMT+3:30,15,28,2,5,2,2,4,5,6,2,4,4,5,6,6,4,4,4,4,3,5,3,4,3,2,2,4,5,4,4,2,3,4,3,3,7,6,6,5
2023/10/26 10:11:22 AM GMT+3:30,16,24,2,2,1,1,3,3,4,3,4,3,4,4,2,2,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,2,2
2023/10/26 2:07:01 PM GMT+3:30,17,26,1,3,1,1,5,5,5,4,2,6,3,3,4,4,3,4,3,4,3,3,5,5,1,5,1,1,3,3,3,3,5,5,5,7,7,7,7
2023/10/27 11:36:40 PM GMT+3:30,18,29,2,3,2,1,5,5,5,5,2,5,4,2,4,5,2,5,2,5,3,2,2,2,2,2,2,2,2,4,4,4,3,4,4,3,3,2,3
2023/10/28 7:25:34 AM GMT+3:30,19,25,2,4,1,1,3,4,3,4,3,5,3,3,4,4,3,5,2,5,3,2,3,2,4,2,2,2,3,4,4,4,4,5,5,5,5,4,5
2023/10/29 8:00:05 PM GMT+3:30,20,30,1,3,2,1,2,2,5,2,4,2,5,4,1,1,5,2,5,1,6,5,3,4,4,4,4,3,3,3,3,3,2,4,3,4,5,5,4
2023/10/29 8:02:44 PM GMT+3:30,21,31,1,5,2,3,2,2,5,3,4,3,5,5,2,2,4,2,4,2,5,5,4,2,1,1,1,3,4,3,4,4,4,4,5,6,4,4,6
2023/10/29 11:35:18 PM GMT+3:30,22,25,2,2,1,1,3,3,4,3,4,3,4,4,3,3,4,3,4,3,4,4,3,2,3,3,3,3,3,3,3,3,3,4,3,5,5,4,4
2023/10/30 3:12:42 PM GMT+3:30,23,24,2,3,1,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,3,3,2,2,4,5,5,5,5,5,5,4,5,5,4
2023/10/31 9:49:19 AM GMT+3:30,24,30,1,1,2,2,5,5,2,5,3,4,5,2,5,2,2,5,5,6,2,2,4,4,2,2,2,2,4,4,4,4,4,4,4,5,2,3,2
2023/10/31 9:08:44 PM GMT+3:30,25,24,2,5,1,1,4,4,4,4,2,6,3,1,2,2,2,2,2,1,5,6,3,1,1,2,2,2,5,4,2,2,4,4,4,1,1,2,2
2023/11/09 10:03:59 PM GMT+3:30,26,27,1,4,1,1,3,3,4,3,4,3,5,2,3,2,4,2,2,3,5,2,2,2,2,2,2,2,1,1,1,2,3,4,4,4,5,4,6
