Timestamp,No,Age,Gender,Experience,Degree,Major,FM_1,FM_2,GM_1,FM_3,GM_2,FM_4,GM_3,GM_4,FM_5,FM_6,GM_5,FM_7,GM_6,FM_8,GM_7,GM_8,SA_1,SA_2,SA_3,SA_4,SA_5,SA_6,DA_1,DA_2,DA_3,DA_4,ENFE_1,ENFE_2,ENFE_3,TI_1,TI_2,TI_3,TI_4
2023/10/21 9:39:20 PM GMT+3:30,1,24,Male,2,B.A.,Teaching,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree, Agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral, Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral
2023/10/21 9:51:07 PM GMT+3:30,2,26,Female,1,B.A.,Teaching,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Slightly Agree,Slightly Agree
2023/10/21 9:55:14 PM GMT+3:30,3,32,Female,1,M.A.,Teaching,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Slightly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral, Agree, Agree, Agree, Agree, Agree,Slightly Agree,Slightly Agree,Neutral,Slightly Agree
2023/10/22 12:00:17 AM GMT+3:30,4,23,Female,2,B.A.,Teaching,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
2023/10/22 12:55:28 AM GMT+3:30,5,25,Male,2,B.A.,Teaching,Agree,Agree,Disagree,Agree,Disagree,Agree,Slightly Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Slightly Agree,Disagree,Disagree, Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree, Agree, Agree, Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023/10/22 6:34:40 AM GMT+3:30,6,27,Male,3,B.A.,Teaching,Agree,Agree,Disagree,Agree,Disagree,Agree,Slightly Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Slightly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree, Agree, Agree, Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023/10/22 11:46:00 PM GMT+3:30,7,27,Female,5,M.A.,Teaching,Slightly Agree,Disagree,Agree,Slightly Disagree,Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral, Agree, Agree, Agree, Agree,Neutral, Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree
2023/10/23 1:18:39 PM GMT+3:30,8,29,Male,4,B.A.,Teaching,Strongly Disagree,Strongly Disagree,Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Disagree,Agree,Slightly Disagree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Neutral, Agree,Disagree,Disagree,Strongly Disagree,Neutral, Agree, Agree,Strongly Agree, Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Slightly Disagree
2023/10/23 4:56:20 PM GMT+3:30,9,32,Male,1,M.A.,Literature,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral, Agree, Agree, Agree, Agree, Agree, Agree, Agree,Disagree,Disagree,Disagree,Neutral
2023/10/23 7:58:41 PM GMT+3:30,10,29,Female,5,M.A.,Teaching,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree, Agree, Agree, Agree, Agree, Agree,Strongly Agree, Agree, Agree,Disagree,Slightly Disagree,Strongly Disagree,Agree
